timestep,phi,phi_dot
0.10305152576288144,-0.028105223889700784,-6.6911818651659205
0.1040520260130065,-0.034796405754866706,-6.649294388673181
0.10505252626313157,-0.04144570014353989,-6.605608995003355
0.10605302651325663,-0.04805130913854325,-6.560147239985277
0.10705352676338169,-0.054611456378528524,-6.5129311110437875
0.10805402701350675,-0.06112438748957231,-6.46398301857501
0.10905452726363181,-0.06758837050814732,-6.413325787235263
0.11005502751375688,-0.07400169629538259,-6.360982647146643
0.11105552776388194,-0.08036267894252923,-6.306977225022295
0.112056028014007,-0.08666965616755153,-6.251333535214425
0.11305652826413207,-0.09292098970276595,-6.194075970688087
0.11405702851425713,-0.09911506567345404,-6.135229293923817
0.11505752876438219,-0.10525029496737787,-6.074818627752161
0.11605802901450725,-0.11132511359513003,-6.012869446123187
